X,Y,Z_PID_Input,Setpoint_PID,Servo_PID_Output,Temp_degC,Sys_cal,G_cal,A_cal,M_cal
100.250,-4.438,13.375,90.0000,80.456,34,3,0,0,3
96.625,-3.687,14.625,90.0000,79.144,34,3,0,0,3
94.438,-4.125,17.000,90.0000,76.650,34,3,0,0,3
92.688,-5.563,17.000,90.0000,76.650,34,3,0,0,3
91.938,-7.500,15.875,90.0000,77.831,34,3,0,0,3
92.500,-8.687,12.937,90.0000,80.916,34,3,0,0,3
93.938,-8.562,9.687,90.0000,84.328,34,3,0,0,3
95.063,-7.500,7.250,90.0000,86.888,34,3,0,0,3
96.688,-6.750,4.688,90.0000,89.578,34,3,0,0,3
98.438,-5.188,3.312,90.0000,91.022,34,3,0,0,3
99.438,-4.188,2.687,90.0000,91.678,34,3,0,0,3
99.875,-3.187,3.000,90.0000,91.350,34,3,0,0,3
99.250,-4.500,4.750,90.0000,89.513,34,3,0,0,3
99.813,-8.687,6.688,90.0000,87.478,34,3,0,0,3
101.188,-10.062,9.437,90.0000,84.591,34,3,0,0,3
103.188,-11.937,9.250,90.0000,84.788,34,3,0,0,3
105.313,-10.687,11.000,90.0000,82.950,34,3,0,0,3
108.250,-9.625,11.187,90.0000,82.753,34,3,0,0,3
111.125,-7.938,11.062,90.0000,82.884,34,3,0,0,3
112.625,-6.563,10.500,90.0000,83.475,34,3,0,0,3
111.000,-6.625,10.000,90.0000,84.000,34,3,0,0,3
108.500,-5.375,9.875,90.0000,84.131,34,3,0,0,3
104.500,-3.625,10.187,90.0000,83.803,34,3,0,0,3
100.938,-2.500,11.687,90.0000,82.228,34,3,0,0,3
98.375,-2.000,14.437,90.0000,79.341,34,3,0,0,3
97.375,-3.125,19.437,90.0000,74.091,34,3,0,0,3
94.688,-5.813,21.500,90.0000,71.925,34,3,0,0,3
93.313,-6.875,19.562,90.0000,73.959,34,3,0,0,3
93.875,-6.313,17.000,90.0000,76.650,34,3,0,0,3
95.625,-6.938,12.187,90.0000,81.703,34,3,0,0,3
96.875,-7.750,7.125,90.0000,87.019,34,3,0,0,3
98.750,-7.875,0.938,90.0000,93.516,34,3,0,0,3
100.875,-7.000,-2.187,90.0000,96.797,34,3,0,0,3
103.125,-6.375,-3.312,90.0000,97.978,34,3,0,0,3
103.125,-8.375,-0.938,90.0000,95.484,34,3,0,0,3
104.500,-11.000,3.125,90.0000,91.219,34,3,0,0,3
106.813,-12.250,6.188,90.0000,88.003,34,3,0,0,3
108.938,-12.375,8.750,90.0000,85.312,34,3,0,0,3
110.688,-11.062,9.812,90.0000,84.197,34,3,0,0,3
112.750,-8.312,9.375,90.0000,84.656,34,3,0,0,3
113.375,-5.875,9.000,90.0000,85.050,34,3,0,0,3
111.125,-4.063,9.562,90.0000,84.459,34,3,0,0,3
